auth,title
Patrick Carman,Skeleton Creek
Rick Riordan,Percy Jackson 3 Titan's Curse
Rick Riordan,Percy Jackson 4 Battle of the Labyrinth
Rick Riordan,Percy Jackson 5 The Last Olympian
Rick Riordan,Kane Chronicles 1 Red Pyramid
Rick Riordan,Kane Chronicles 2 The Throne of Fire
,The Fourth Stall
Rick Riordan,Percy Jackson 1 Lightning Thief
Rick Riordan,Percy Jackson 2 Sea of Monsters
Rick Riordan,Heroes of Olympus 1 The Lost Hero
Rick Riordan,Heroes of Olympus 2 The Son of Neptune
Rick Riordan,Kane Chronicles 3 The Serpent's shadow
Rick Riordan,Heroes of Olympus 3 The Mark of Athena
Rick Riordan,Heroes of Olympus 4 The House of Hades
Rick Riordan,Heroes of Olympus 5 The Blood of Olympus
Jack London,Call of the Wild
Harper Lee,To Kill a Mockingbird
George Orwell,Animal Farm
George Orwell,1984
William Golding,Lord of the Flies
Shakespeare,Macbeth
Jerome Lawrence,Inherit the wind
Scott Fitzgerald,The Great Gatsby
Shakespeare,Hamlet
Douglas Adams,Hitchhikers Guide to the galaxy
Douglas Adams,Restaurant at the end of the Universe
Douglas Adams,"Life, the universe, and everything"
